Attribute,Top Team
PlayingTime.MatchesPlayed,Manchester Utd
PlayingTime.Starts,Manchester Utd
PlayingTime.Minutes,Manchester Utd
Performance.NonPenaltyGoals,Manchester City
Performance.PenaltyGoals,Manchester City
Performance.Assists,Aston Villa
Performance.YellowCards,Fulham
Performance.RedCards,Sheffield Utd
Expected.xG,Manchester City
Expected.npxG,Manchester City
Expected.xAG,Manchester Utd
Progression.PrgC,Manchester City
Progression.PrgP,Manchester City
Progression.PrgR,Arsenal
Per90.Gls,Wolves
Per90.Ast,Tottenham
Per90.G+A,Fulham
Per90.G-PK,Wolves
Per90.G+A-PK,Fulham
Per90.xG,Bournemouth
Per90.xAG,Manchester City
Per90.xG+xAG,Bournemouth
Per90.npxG,Bournemouth
Per90.npxG+xAG,Bournemouth
Goalkeeping.Performance.GA,Luton Town
Goalkeeping.Performance.GA90,Bournemouth
Goalkeeping.Performance.SoTA,Luton Town
Goalkeeping.Performance.Saves,Manchester Utd
Goalkeeping.Performance.Save%,Burnley
Goalkeeping.Performance.W,Manchester City
Goalkeeping.Performance.D,West Ham
Goalkeeping.Performance.L,Luton Town
Goalkeeping.Performance.CS,Arsenal
Goalkeeping.Performance.CS%,Manchester City
Goalkeeping.PenaltyKicks.PKatt,Fulham
Goalkeeping.PenaltyKicks.PKA,Fulham
Goalkeeping.PenaltyKicks.PKsv,West Ham
Goalkeeping.PenaltyKicks.PKm,Sheffield Utd
Goalkeeping.PenaltyKicks.Save%,Aston Villa
Shooting.Standard.Gls,Manchester City
Shooting.Standard.Sh,Manchester City
Shooting.Standard.SoT,Manchester City
Shooting.Standard.SoT%,Luton Town
Shooting.Standard.Sh/90,Bournemouth
Shooting.Standard.SoT/90,Everton
Shooting.Standard.G/Sh,Manchester Utd
Shooting.Standard.G/SoT,Chelsea
Shooting.Standard.Dist,Sheffield Utd
Shooting.Standard.FK,West Ham
Shooting.Standard.PK,Chelsea
Shooting.Standard.PKatt,Chelsea
Shooting.Expected.xG,Manchester City
Shooting.Expected.npxG,Manchester City
Shooting.Expected.npxG/Sh,Fulham
Passing.Total.Cmp,Manchester City
Passing.Total.Att,Manchester City
