,Name,Team,Cluster
0,Aaron Cresswell,West Ham,1
1,Aaron Ramsdale,Arsenal,1
2,Aaron Wan-Bissaka,Manchester Utd,0
3,Aaron Hickey,Brentford,1
4,Aaron Ramsey,Burnley,1
5,Abdoulaye Doucouré,Everton,4
6,Adam Lallana,Brighton,1
7,Adam Smith,Bournemouth,0
8,Adam Webster,Brighton,1
9,Adam Wharton,Crystal Palace,1
10,Adama Traoré,Fulham,1
11,Albert Sambi Lokonga,Luton Town,1
12,Alejandro Garnacho,Manchester Utd,3
13,Alex Iwobi,Everton,1
14,Alex Iwobi,Fulham,4
15,Alex Scott,Bournemouth,1
16,Alexander Isak,Newcastle Utd,3
17,Alexis Mac Allister,Liverpool,2
18,Alfie Doughty,Luton Town,2
19,Alfie Gilchrist,Chelsea,1
20,Alisson,Liverpool,0
21,Alphonse Areola,West Ham,0
22,Amad Diallo,Manchester Utd,1
23,Amadou Onana,Everton,0
24,Amari'i Bell,Luton Town,0
25,Ameen Al-Dakhil,Burnley,1
26,Anass Zaroury,Burnley,1
27,Andre Brooks,Sheffield Utd,1
28,Andreas Pereira,Fulham,2
29,Andrew Robertson,Liverpool,2
30,Andrew Omobamidele,Nott'ham Forest,1
31,Andros Townsend,Luton Town,1
32,André Gomes,Everton,1
33,André Onana,Manchester Utd,0
34,Anel Ahmedhodžić,Sheffield Utd,0
35,Angelo Ogbonna,West Ham,1
36,Anis Ben Slimane,Sheffield Utd,1
37,Ansu Fati,Brighton,4
38,Anthony Martial,Manchester Utd,1
39,Anthony Gordon,Newcastle Utd,3
40,Anthony Elanga,Nott'ham Forest,4
41,Antoine Semenyo,Bournemouth,4
42,Antonee Robinson,Fulham,2
43,Antony,Manchester Utd,4
44,Arijanet Muric,Burnley,1
45,Armando Broja,Chelsea,1
46,Arnaut Danjuma,Everton,1
47,Ashley Young,Everton,0
48,Auston Trusty,Sheffield Utd,0
49,Axel Disasi,Chelsea,0
50,Bart Verbruggen,Brighton,1
51,Ben Mee,Brentford,1
52,Ben Davies,Tottenham,1
53,Ben Osborn,Sheffield Utd,1
54,Ben Chilwell,Chelsea,1
55,Ben White,Arsenal,0
56,Ben Godfrey,Everton,1
57,Ben Brereton,Sheffield Utd,4
58,Ben Johnson,West Ham,1
59,Benoît Badiashile,Chelsea,0
60,Benson Manuel,Burnley,1
61,Bernardo Silva,Manchester City,2
62,Bernd Leno,Fulham,0
63,Beto,Everton,4
64,Billy Gilmour,Brighton,0
